[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.08 [4672/60000 (8%)]	Loss: 0.194960	Error: 6.250000
Train Epoch: 0.08 [4736/60000 (8%)]	Loss: 0.404870	Error: 14.062500
Train Epoch: 0.08 [4800/60000 (8%)]	Loss: 0.444241	Error: 7.812500
Train Epoch: 0.08 [4864/60000 (8%)]	Loss: 0.414266	Error: 12.500000
Train Epoch: 0.08 [4928/60000 (8%)]	Loss: 0.236614	Error: 9.375000
Train Epoch: 0.08 [4992/60000 (8%)]	Loss: 0.282285	Error: 3.125000
Train Epoch: 0.08 [5056/60000 (8%)]	Loss: 0.344977	Error: 9.375000
Train Epoch: 0.08 [5120/60000 (8%)]	Loss: 0.219065	Error: 10.937500
Train Epoch: 0.09 [5184/60000 (9%)]	Loss: 0.522288	Error: 14.062500
Train Epoch: 0.09 [5248/60000 (9%)]	Loss: 0.299190	Error: 10.937500
Train Epoch: 0.09 [5312/60000 (9%)]	Loss: 0.268834	Error: 7.812500
Train Epoch: 0.09 [5376/60000 (9%)]	Loss: 0.305927	Error: 10.937500
Train Epoch: 0.09 [5440/60000 (9%)]	Loss: 0.255495	Error: 12.500000
Train Epoch: 0.09 [5504/60000 (9%)]	Loss: 0.232473	Error: 6.250000
Train Epoch: 0.09 [5568/60000 (9%)]	Loss: 0.386470	Error: 12.500000
Train Epoch: 0.09 [5632/60000 (9%)]	Loss: 0.294280	Error: 9.375000
Train Epoch: 0.09 [5696/60000 (9%)]	Loss: 0.247921	Error: 7.812500
Train Epoch: 0.09 [5760/60000 (9%)]	Loss: 0.575430	Error: 10.937500
Train Epoch: 0.10 [5824/60000 (10%)]	Loss: 0.146320	Error: 6.250000
Train Epoch: 0.10 [5888/60000 (10%)]	Loss: 0.346970	Error: 10.937500
Train Epoch: 0.10 [5952/60000 (10%)]	Loss: 0.318369	Error: 12.500000
Train Epoch: 0.10 [6016/60000 (10%)]	Loss: 0.183896	Error: 6.250000
Train Epoch: 0.10 [6080/60000 (10%)]	Loss: 0.378595	Error: 9.375000
Train Epoch: 0.10 [6144/60000 (10%)]	Loss: 0.346371	Error: 14.062500
Train Epoch: 0.10 [6208/60000 (10%)]	Loss: 0.213369	Error: 6.250000
Train Epoch: 0.10 [6272/60000 (10%)]	Loss: 0.254564	Error: 9.375000
Train Epoch: 0.10 [6336/60000 (10%)]	Loss: 0.175288	Error: 7.812500
Train Epoch: 0.11 [6400/60000 (11%)]	Loss: 0.794732	Error: 14.062500
Train Epoch: 0.11 [6464/60000 (11%)]	Loss: 0.295714	Error: 9.375000
Train Epoch: 0.11 [6528/60000 (11%)]	Loss: 0.221949	Error: 9.375000
Train Epoch: 0.11 [6592/60000 (11%)]	Loss: 0.426770	Error: 18.750000
Train Epoch: 0.11 [6656/60000 (11%)]	Loss: 0.165496	Error: 6.250000
Train Epoch: 0.11 [6720/60000 (11%)]	Loss: 0.282753	Error: 10.937500
Train Epoch: 0.11 [6784/60000 (11%)]	Loss: 0.470610	Error: 10.937500
Train Epoch: 0.11 [6848/60000 (11%)]	Loss: 0.342726	Error: 12.500000
